text,review_sentiment
"normal
Perfeito, produto entregue antes do combinado.",NEUTRAL
"normal
normal",NEUTRAL
"normal
Chegou antes do prazo previsto e o produto surpreendeu pela qualidade. Muito satisfatório.",POSITIVE
"normal
Gostei pois veio no prazo determinado .",NEUTRAL
"normal
Na descrição do produto quando fui efetuar a compra, estava detalhado os pentes de disfarce.
Quando recebe o produto verifiquei e notei que não havia os pentes 0.5 e 1.5",NEGATIVE
"normal
A caixa do produto veio com uma pequena avariação, mas de resto veio perfeito...",NEUTRAL
"normal
Fiquei um pouco triste, achei que a cor do coração seria verde, conforme a foto..... Mas depois que recebi o coração cor de rosa que fui ver que são imagens ilustrativas...... 😥",NEUTRAL
"Boa
Excelente serviço de compras on line.",POSITIVE
"produto não entregue
Mudo minha opinião assim que receber o produto.
Consta no site que o produto foi entregue, mas não recebi.",NEGATIVE
"normal
Recebi td certinho antes do prazo! ",NEUTRAL
"normal
Bom produto",NEUTRAL
"normal
5",NEUTRAL
"normal
super recomendo",POSITIVE
"normal
Recebi o long 10 dias após a compra, e chegou em perfeito estado. A ilustração é idêntica à imagem do site. O material é de ótima qualidade e o tamanho é perfeito. Recomendo ! ",POSITIVE
"normal
produto como descrito, satisfeitíssima com a compra.",POSITIVE
"Super Recomendo
Produto entregue adequadamente e muito rápido, gostei muito do serviço.",POSITIVE
"normal
Entrega muito demorada. Ainda não recebi o produto",NEGATIVE
"normal
Adorei, compro novamente!",POSITIVE
"normal
Produto real.",NEUTRAL
"normal
Loja rápida na entrega. Só houve um incidente pelo fato de não vim o produto escolhido e sim um similar.",NEUTRAL
"normal
Entregaram do prazo ",NEUTRAL
"normal
Tudo ok e dentro do prazo",NEUTRAL
"normal
Entrega prometida 24/05/17. Dia 26/05/17 não havia recebido ainda.",NEGATIVE
"normal
Produto aparentemente ótimo, chegou muito antes do prazo estipulado pelo site. Pena que comprei o produto errado ""era para ser bomba submersa com filtro"". Mas, já estou resolvendo tudo quanto a troca.",NEGATIVE
"Pessima
O produto chegou e estragou sozinho",NEGATIVE
"normal
Muito bom recomendo",POSITIVE
"Recomendo
Produto como descrito. Mas não gostei pq o som do alarme é muito baixo.. ",NEUTRAL
"normal
Otimo vendedor
",NEUTRAL
"sensacional
ótimo produto, bom acabamento. Para quem está começando nesse estudo sobre o universo, principalmente estudantes é uma ótima ferramenta. Tenho feito vários estudos com o auxilio do telescópio.",POSITIVE
"normal
Chegou e está OK.",NEUTRAL
"normal
Adoro comprar com vocês, continuem assim",NEUTRAL
"normal
Muito bom, so não testei ainda o produto mas super recomendo",POSITIVE
"normal
ok",NEUTRAL
"normal
ótimo produto",NEUTRAL
"normal
Produto de bom custo beneficio.",NEUTRAL
"normal
Comprei dois produtos no mesmo dia, sexta-feira de black friday, no início de dezembro. O jogo de panelas tramontina chegou dentro do prazo, que era até o dia 11-12, mas a pipoqueira ainda não chegou.",NEUTRAL
"normal
Comprei duas mochilas e recebi somente um produto é o valor vocês estão cobrando de dois produtos queto devolução do produto é meu ressarcimento",NEGATIVE
"normal
Estou acostumada a comprar produtos pelo baratheon. Super confiável, transparência, qualidade e agilidade. Super recomendo.",POSITIVE
"Mesa com cavaletes 
Demora absurda para entrega, dentro do prazo especificado por eles, mas ainda sim muito demorado!",NEGATIVE
"normal
Muito satisfeita com a compra e com a empresa!",POSITIVE
"Ótima qualidade
Produto de ótima qualidade, sabor ótimo. Entregue antes do prazo",NEGATIVE
"Muito rápido a entrega! 
Amei o conj! Foi entregue rápido! O conj é perfeito ",POSITIVE
"Bom 
Ótimo ",POSITIVE
"normal
Chego antes do previsto bem embalado e do jeito que eu pedi",NEUTRAL
"normal
O relógio, (presente do dia das crianças pra minha filha) Não funciona!!!!!",NEGATIVE
"Bom.
Recebi tudo certinho, recomendo.",POSITIVE
"normal
Produto entregue prazo ",NEUTRAL
"normal
Não recebi nada, não entraram em contato. Ninguém liga pra informar o que aconteceu.",NEGATIVE
"Muito bom fornecedor
Chegou corretamente e antes do prazo! ",POSITIVE
"Obrigada
Adorei meu produto, e chegou tudo perfeitamente ",POSITIVE
"normal
Gostei muito",NEUTRAL
"normal
bom",NEUTRAL
"normal
Eu comprei 4 agaveas so veio uma",NEUTRAL
"normal
Gostei muito, sempre que precisar irei comprar.",NEUTRAL
"normal
Muito bom",NEUTRAL
"normal
Recebi o produto, porém, veio com defeito. Não funciona, nem se quer liga. Já comprei vários produtos pela Internet, inclusive das Lojas lannister. Estou insatisfeito com este q comprei. ",NEGATIVE
"normal
Excelente,bonito e ajusta facil no braço. Nao é grande, tem o tamanho ideal e muitas funçoes. Super recomendo.",POSITIVE
"normal
Ainda não recebi todos os produtos",NEUTRAL
"normal
Ainda nao foi entregue o produto",NEGATIVE
"normal
Adorei como sempre entrega rápida e produto ótima qualidade. ",NEUTRAL
"recomendo
comprei a família incrível em 26/07/2018 e chegou em casa 31/07/2018... me surpreendi!",POSITIVE
"normal
vou comprar de novo , gostei e é excelente os produtos obrigado!",POSITIVE
"normal
Antes do prazo, porem tive de pegar nos Correios, pois eles não entregaram em casa ",NEUTRAL
"normal
Espero obter uma resposta para minha encomenda. Comprei 3 controles remotos para ar condicionado e apenas recebi 1 controle Komeco e dos 2 controles Elgin pedidos e pago só foi entregue 1 controle Elg",NEUTRAL
"normal
Produto muito bom e eficiente para quem gosta de andar de bike e precisa de gps.",POSITIVE
"normal
Atendeu minhas expectativas ",NEUTRAL
"normal
O produto chegou como eu imaginava,por enquanto estou gostando
",NEUTRAL
"normal
Demorou para entregar e quando chegou veio errado. ",NEUTRAL
"normal
Muito Bom ",NEUTRAL
"Recomendo!!
Muito bom Produto!!",POSITIVE
"normal
Muito lindo, ficou perfeito na minha cama.
",NEUTRAL
"normal
Segunda compra com esta empresa, muito bom o produto e o prazo de entrega sempre antecipado ,muito obrigado!",POSITIVE
"Excelente
Produto de ótima qualidade,muito fofo e super macio.",POSITIVE
"normal
10!",NEUTRAL
"normal
Achei o prazo bom, mas o frete o olho da cara, mas caro que o produto.",NEUTRAL
"normal
Pedi HD 500 GB SATA Notebook Samsung R520

1 unidade - R$ 269,00 cada

 
E recebi Hdd 2,5 Notebook / Desktop Seagate St500lm030 Barracuda 500gb 5400rpm 128mb Sata 6gb/s",NEUTRAL
"normal
a Quase 20 dias aparece no rastreamento dificuldade na entrega, ja mandei mensagens e nada fora feito...ja esta em atraso de 5 dias da data prevista e sem providencia do site das lannister..
fazer ",NEGATIVE
"normal
Esperando o produto para avaliar ",NEUTRAL
"super recomendo
Extrema pontualidade e ótimo produto.",POSITIVE
"normal
Me entregaram um tapete errado. Estou aguardando providencias",NEUTRAL
"normal
foi otimo",NEUTRAL
